Number,date,day,month,opponent,win_loss,runs,runs_allowed,innings,rank,games_behind_raw,day_night_raw,attendance,home,win_total,loss_total,win_percentage,streak,game_duration,games_behind,google_trends,distance,avg_run,avg_run_allowed,avg_inning,avg_duration,temperature
151,"Friday, Sep 8 2017",Friday,Sep,MIA,L,1,7,9,3,24.5,N,"30,056",1,62,78,0.442857143,-1,196,-24.5,11,662.5,4.7,5.6,9,185.8,21.7
152,"Saturday, Sep 9 2017",Saturday,Sep,MIA,W-wo,6,5,9,3,23.5,N,"34,043",1,63,78,0.446808511,1,201,-23.5,11,662.5,4.3,5.7,9,187.5,18.7
153,"Sunday, Sep 10 2017",Sunday,Sep,MIA,W-wo,10,8,11,3,23.5,D,"34,974",1,64,78,0.450704225,2,227,-23.5,10,662.5,4.5,6.2,9,189.5,21.7
154,"Friday, Sep 15 2017",Friday,Sep,NYM,W,3,2,9,3,21.5,N,"29,402",1,67,79,0.45890411,1,185,-21.5,10,864.2,4.9,6.1,9.2,193.5,23.2
155,"Saturday, Sep 16 2017",Saturday,Sep,NYM,L,3,7,9,3,21.5,N,"37,846",1,67,80,0.455782313,-1,165,-21.5,10,864.2,4.7,6.1,9.2,196.8,24.4
156,"Sunday, Sep 17 2017",Sunday,Sep,NYM,L,1,5,9,3,22.5,D,"32,785",1,67,81,0.452702703,-2,179,-22.5,9,864.2,4.4,6.1,9.2,192.9,24.4
157,"Tuesday, Sep 19 2017",Tuesday,Sep,WSN,L,2,4,9,3,23.5,N,"26,709",1,67,82,0.44966443,-3,181,-23.5,9,638.6,4.5,6.3,9.2,191.9,24.9
158,"Wednesday, Sep 20 2017",Wednesday,Sep,WSN,L,3,7,9,3,24.5,N,"25,054",1,67,83,0.446666667,-4,171,-24.5,9,638.6,4.5,5.9,9.2,193,23.1
159,"Thursday, Sep 21 2017",Thursday,Sep,WSN,W,3,2,9,3,23.5,N,"32,702",1,68,83,0.450331126,1,138,-23.5,9,638.6,4,5.4,9.2,189.1,24.7
160,"Friday, Sep 22 2017",Friday,Sep,PHI,W,7,2,9,3,22.5,N,"33,702",1,69,83,0.453947368,2,176,-22.5,9,778.3,3.8,5.2,9.2,184.6,25.3
161,"Saturday, Sep 23 2017",Saturday,Sep,PHI,W,4,2,9,3,22.5,N,"39,809",1,70,83,0.45751634,3,170,-22.5,9,778.3,3.9,4.9,9.2,181.9,18.8
162,"Sunday, Sep 24 2017",Sunday,Sep,PHI,L,0,2,9,3,23.5,D,"33,183",1,70,84,0.454545455,-1,158,-23.5,7,778.3,4.2,4.4,9.2,179.3,12.3
163,"Thursday, Mar 29 2018",Thursday,Mar,PHI,W-wo,8,5,9,1, Tied,D,"40,208",1,1,0,1,1,208,0,22,778.3,3.6,4.1,9.2,175,15.3
